sex,race,stage,age_group,count,mean_age,sd_age,denominator,percentage,cancer_site
Male,White,Distant,1,24894,64.70064841498559,7.501656884350023,66624,37.36491354466859,Lung_and_bronchus
Male,Black,Localised,1,3301,63.37477750089,7.839834221336944,11236,29.37878248487006,Lung_and_bronchus
Male,Black,Regional,1,2945,63.37477750089,7.839834221336944,11236,26.21039515841936,Lung_and_bronchus
Male,Black,Distant,1,4990,63.37477750089,7.839834221336944,11236,44.41082235671058,Lung_and_bronchus
Male,White,Localised,2,13562,79.78893773841081,3.79849583440841,30934,43.84172754897524,Lung_and_bronchus
Male,White,Regional,2,7061,79.78893773841081,3.79849583440841,30934,22.82601668067499,Lung_and_bronchus
Male,White,Distant,2,10311,79.78893773841081,3.79849583440841,30934,33.33225577034978,Lung_and_bronchus
Male,Black,Localised,2,1111,79.45309381237524,3.618904248882176,3006,36.95941450432468,Lung_and_bronchus
Male,Black,Regional,2,688,79.45309381237524,3.618904248882176,3006,22.88755821689954,Lung_and_bronchus
Male,Black,Distant,2,1207,79.45309381237524,3.618904248882176,3006,40.15302727877578,Lung_and_bronchus
Female,White,Localised,1,32254,64.29626496616346,7.672144994826303,76840,41.97553357626236,Lung_and_bronchus
Female,White,Regional,1,19062,64.29626496616346,7.672144994826303,76840,24.80739198334201,Lung_and_bronchus
Female,White,Distant,1,25524,64.29626496616346,7.672144994826303,76840,33.21707444039563,Lung_and_bronchus
Female,Black,Localised,1,3964,63.08315276273023,7.957542052224348,11076,35.78909353557241,Lung_and_bronchus
Female,Black,Regional,1,2810,63.08315276273023,7.957542052224348,11076,25.37016973636692,Lung_and_bronchus
Female,Black,Distant,1,4302,63.08315276273023,7.957542052224348,11076,38.84073672806067,Lung_and_bronchus
Female,White,Localised,2,17344,79.88121653695424,3.83035488944013,36234,47.86664458795607,Lung_and_bronchus
Female,White,Regional,2,7814,79.88121653695424,3.83035488944013,36234,21.56538058177403,Lung_and_bronchus
Female,White,Distant,2,11076,79.88121653695424,3.83035488944013,36234,30.56797483026991,Lung_and_bronchus
Female,Black,Localised,2,1481,79.69286333429645,3.769995389685973,3461,42.79110083790812,Lung_and_bronchus
Female,Black,Regional,2,744,79.69286333429645,3.769995389685973,3461,21.49667726090725,Lung_and_bronchus
Female,Black,Distant,2,1236,79.69286333429645,3.769995389685973,3461,35.71222190118463,Lung_and_bronchus
Male,White,Localised,1,11845,60.31105485232067,9.234430484364839,47400,24.98945147679325,Oral_cavity_and_pharynx
Male,White,Regional,1,31197,60.31105485232067,9.234430484364839,47400,65.81645569620254,Oral_cavity_and_pharynx
Male,White,Distant,1,4358,60.31105485232067,9.234430484364839,47400,9.194092827004219,Oral_cavity_and_pharynx
Male,Black,Localised,1,884,58.14349146996962,10.40814916365822,4279,20.65903248422529,Oral_cavity_and_pharynx
Male,Black,Regional,1,2752,58.14349146996962,10.40814916365822,4279,64.31409207758823,Oral_cavity_and_pharynx
Male,Black,Distant,1,643,58.14349146996962,10.40814916365822,4279,15.02687543818649,Oral_cavity_and_pharynx
Male,White,Localised,2,3059,79.65603726262988,3.856314856923165,8373,36.53409769497193,Oral_cavity_and_pharynx
Male,White,Regional,2,4481,79.65603726262988,3.856314856923165,8373,53.51725785262153,Oral_cavity_and_pharynx
Male,White,Distant,2,833,79.65603726262988,3.856314856923165,8373,9.948644452406546,Oral_cavity_and_pharynx
